Token: #include <stdio.h>, Type: Preprocessor
Token: //sebi, Type: Comment
Token: int, Type: Keyword
Token: main, Type: Identifier
Token: (, Type: Symbol
Token: ), Type: Symbol
Token: {, Type: Symbol
Token: int, Type: Keyword
Token: a, Type: Identifier
Token: =, Type: Operator
Token: "sebi", Type: String
Token: ;, Type: Symbol
Token: float, Type: Keyword
Token: b, Type: Identifier
Token: =, Type: Operator
Token: 20.5, Type: Float Constant
Token: ;, Type: Symbol
Token: if, Type: Keyword
Token: (, Type: Symbol
Token: a, Type: Identifier
Token: <, Type: Operator
Token: 20, Type: Integer Constant
Token: ), Type: Symbol
Token: {, Type: Symbol
Token: printf, Type: Identifier
Token: (, Type: Symbol
Token: "a este mai mic decat 20\n", Type: String
Token: ), Type: Symbol
Token: ;, Type: Symbol
Token: }, Type: Symbol
Token: else, Type: Keyword
Token: {, Type: Symbol
Token: printf, Type: Identifier
Token: (, Type: Symbol
Token: "a este mai mare sau egal cu 20\n", Type: String
Token: ), Type: Symbol
Token: ;, Type: Symbol
Token: }, Type: Symbol
Token: for, Type: Keyword
Token: (, Type: Symbol
Token: int, Type: Keyword
Token: i, Type: Identifier
Token: =, Type: Operator
Token: 0, Type: Integer Constant
Token: ;, Type: Symbol
Token: i, Type: Identifier
Token: <, Type: Operator
Token: 5, Type: Integer Constant
Token: ;, Type: Symbol
Token: +, Type: Operator
Token: +, Type: Operator
Token: i, Type: Identifier
Token: ), Type: Symbol
Token: {, Type: Symbol
Token: printf, Type: Identifier
Token: (, Type: Symbol
Token: "Valoarea lui i: %d\n", Type: String
Token: ,, Type: Symbol
Token: i, Type: Identifier
Token: ), Type: Symbol
Token: ;, Type: Symbol
Token: }, Type: Symbol
Token: return, Type: Keyword
Token: 0, Type: Integer Constant
Token: ;, Type: Symbol
Token: }, Type: Symbol
Token: EOF, Type: Error
